representative_bucket,representative_reason,representative_rank,signal_date,stock_code,stock_name,policy_key,policy_label_ko,dashboard_rank,dashboard_score_v2,color_path,color_path_emoji,color_path_label_ko,pattern_short_label,d5_first_touch_result,outcome_ko,mfe_d5_pct,mae_d5_pct,chart_path,chart_path_exists
P0 거래대금 Top3 대표 성공,P0 거래대금에서 +3%가 먼저 나온 사례,1,2026-05-04,10170,대한광통신,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,2,83.8035,G-G-Y-G-Y,🟢-🟢-🟡-🟢-🟡,완전강세-완전강세-회복-완전강세-회복,강세 지속,profit_first,익절 먼저,59.8658,-1.062,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\P0_TRADING_VALUE_TOP3\20260504_r2_010170.png,True
P0 거래대금 Top3 대표 성공,P0 거래대금에서 +3%가 먼저 나온 사례,2,2026-05-06,10170,대한광통신,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,83.8035,G-Y-G-Y-R,🟢-🟡-🟢-🟡-🔴,완전강세-회복-완전강세-회복-약세,회복→강세,profit_first,익절 먼저,57.0566,3.0752,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\P0_TRADING_VALUE_TOP3\20260506_r3_010170.png,True
P0 거래대금 Top3 대표 성공,P0 거래대금에서 +3%가 먼저 나온 사례,3,2026-04-29,6340,대원전선,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,75.8175,Y-G-Y-O-Y,🟡-🟢-🟡-🟠-🟡,회복-완전강세-회복-실패-회복,회복→강세,profit_first,익절 먼저,55.0802,-1.9862,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\P0_TRADING_VALUE_TOP3\20260429_r3_006340.png,True
P0 거래대금 Top3 대표 실패,P0 거래대금에서 -3%가 먼저 나온 사례,1,2026-04-15,10170,대한광통신,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,53.5594,R-G-O-Y-O,🔴-🟢-🟠-🟡-🟠,약세-완전강세-실패-회복-실패,혼합 흐름,loss_first,손실 먼저,0.4061,-28.8325,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\P0_TRADING_VALUE_TOP3\20260415_r3_010170.png,True
P0 거래대금 Top3 대표 실패,P0 거래대금에서 -3%가 먼저 나온 사례,2,2026-04-28,47040,대우건설,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,1,49.4088,O-R-O-Y-G,🟠-🔴-🟠-🟡-🟢,실패-약세-실패-회복-완전강세,약세→회복→강세,loss_first,손실 먼저,0.1339,-21.1513,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\P0_TRADING_VALUE_TOP3\20260428_r1_047040.png,True
P0 거래대금 Top3 대표 실패,P0 거래대금에서 -3%가 먼저 나온 사례,3,2026-04-29,47040,대우건설,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,1,49.4088,R-O-Y-G-R,🔴-🟠-🟡-🟢-🔴,약세-실패-회복-완전강세-약세,약세→회복→강세,loss_first,손실 먼저,1.4925,-20.0814,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\P0_TRADING_VALUE_TOP3\20260429_r1_047040.png,True
V2 Top3 대표 성공,V2에서 +3%가 먼저 나온 사례,1,2026-04-24,6340,대원전선,V2_FINAL_TOP3,최종 운영형 V2 Top3,2,82.0865,G-O-Y-Y-G,🟢-🟠-🟡-🟡-🟢,완전강세-실패-회복-회복-완전강세,회복→강세,profit_first,익절 먼저,107.6063,4.0268,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260424_r2_006340.png,True
V2 Top3 대표 성공,V2에서 +3%가 먼저 나온 사례,2,2026-04-27,6340,대원전선,V2_FINAL_TOP3,최종 운영형 V2 Top3,1,82.0865,O-Y-Y-G-Y,🟠-🟡-🟡-🟢-🟡,실패-회복-회복-완전강세-회복,회복→강세,profit_first,익절 먼저,100.7913,-3.8576,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260427_r1_006340.png,True
V2 Top3 대표 성공,V2에서 +3%가 먼저 나온 사례,3,2026-04-29,10170,대한광통신,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,78.9037,Y-G-G-G-Y,🟡-🟢-🟢-🟢-🟡,회복-완전강세-완전강세-완전강세-회복,강세 지속,profit_first,익절 먼저,61.9205,-1.3907,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260429_r3_010170.png,True
V2 Top3 대표 실패,V2에서 -3%가 먼저 나온 사례,1,2026-04-15,100590,머큐리,V2_FINAL_TOP3,최종 운영형 V2 Top3,1,83.1983,R-O-R-O-R,🔴-🟠-🔴-🟠-🔴,약세-실패-약세-실패-약세,실패→약세,loss_first,손실 먼저,0.7805,-34.439,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260415_r1_100590.png,True
V2 Top3 대표 실패,V2에서 -3%가 먼저 나온 사례,2,2026-05-07,6910,보성파워텍,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,86.5309,R-O-O-R-O,🔴-🟠-🟠-🔴-🟠,약세-실패-실패-약세-실패,실패→약세,loss_first,손실 먼저,-2.9299,-24.1401,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260507_r3_006910.png,True
V2 Top3 대표 실패,V2에서 -3%가 먼저 나온 사례,3,2026-05-08,6910,보성파워텍,V2_FINAL_TOP3,최종 운영형 V2 Top3,2,86.5309,O-O-R-O-O,🟠-🟠-🔴-🟠-🟠,실패-실패-약세-실패-실패,실패→약세,loss_first,손실 먼저,0.3504,-21.8641,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260508_r2_006910.png,True
🔴→🟡→🟢 반전형 대표,빨강에서 노랑과 초록으로 회복한 흐름,1,2026-04-15,452190,한빛레이저,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,21,,Y-R-Y-O-G,🟡-🔴-🟡-🟠-🟢,회복-약세-회복-실패-완전강세,약세→회복→강세,profit_first,익절 먼저,47.9087,-0.3802,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\D0_POOL_ALL_RECENT_1M\20260415_r21_452190.png,True
🔴→🟡→🟢 반전형 대표,빨강에서 노랑과 초록으로 회복한 흐름,2,2026-04-21,93370,후성,V2_FINAL_TOP3,최종 운영형 V2 Top3,2,82.3028,Y-O-R-Y-G,🟡-🟠-🔴-🟡-🟢,회복-실패-약세-회복-완전강세,약세→회복→강세,profit_first,익절 먼저,13.299,-6.0985,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260421_r2_093370.png,True
🔴→🟡→🟢 반전형 대표,빨강에서 노랑과 초록으로 회복한 흐름,3,2026-04-24,332570,PS일렉트로닉스,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,15,,Y-R-O-Y-G,🟡-🔴-🟠-🟡-🟢,회복-약세-실패-회복-완전강세,약세→회복→강세,profit_first,익절 먼저,13.1892,-15.6757,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\D0_POOL_ALL_RECENT_1M\20260424_r15_332570.png,True
🟠→🔴 계열 대표,주황 이후 빨강으로 약해진 흐름,1,2026-04-10,65770,CS,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,22,,Y-O-O-R-O,🟡-🟠-🟠-🔴-🟠,회복-실패-실패-약세-실패,실패→약세,loss_first,손실 먼저,21.4008,-34.6693,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\D0_POOL_ALL_RECENT_1M\20260410_r22_065770.png,True
🟠→🔴 계열 대표,주황 이후 빨강으로 약해진 흐름,2,2026-04-15,100590,머큐리,V2_FINAL_TOP3,최종 운영형 V2 Top3,1,83.1983,R-O-R-O-R,🔴-🟠-🔴-🟠-🔴,약세-실패-약세-실패-약세,실패→약세,loss_first,손실 먼저,0.7805,-34.439,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260415_r1_100590.png,True
🟠→🔴 계열 대표,주황 이후 빨강으로 약해진 흐름,3,2026-04-09,65440,이루온,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,4,,O-Y-O-O-R,🟠-🟡-🟠-🟠-🔴,실패-회복-실패-실패-약세,실패→약세,loss_first,손실 먼저,4.1126,-32.9004,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\D0_POOL_ALL_RECENT_1M\20260409_r4_065440.png,True
